Id,Speechiness,Liveness,Energy,Danceability,Instrumentalness,Loudness,Tempo,Name,Id
0pqnGHJpmpxLKifKRmU6WP,"0,128","0,081","0,78","0,776",0,"-4,374","124,949",Believer,0pqnGHJpmpxLKifKRmU6WP
6Qn5zhYkTa37e91HC1D7lb,"0,0311","0,117","0,655","0,672",0,"-5,021","134,945",Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb
28heol5hhOGj6KYbJrRteJ,"0,0609","0,185","0,641","0,639","9,91E-06","-7,423","120,927",I Don’t Know Why,28heol5hhOGj6KYbJrRteJ
31VOknKjFrEX47bZXzqcoF,"0,0623","0,0609","0,672","0,301","3,1E-05","-4,497","169,497",Next To Me,31VOknKjFrEX47bZXzqcoF
0dJ1d877eUDR5JXb7lFZkE,"0,0857","0,395","0,919","0,417","0,00017","-3,209","165,177",4AM,0dJ1d877eUDR5JXb7lFZkE
5Md4gGCtM6HV8eR2lQv8F2,"0,071","0,228","0,892","0,532","0,000519","-4,698","85,99",Reckless Tongue,5Md4gGCtM6HV8eR2lQv8F2
3VD5XUJUAN8UxlbotOs917,"0,0352","0,189","0,811","0,373",0,"-4,486","165,954",3005,3VD5XUJUAN8UxlbotOs917
39e1gl7VaxuCev5ga7bvNq,"0,0335","0,065","0,687","0,641","0,168","-7,36","98,014",In Time,39e1gl7VaxuCev5ga7bvNq
4aQu1rELCP42qSITWP2V4W,"0,0495","0,157","0,363","0,632","1,14E-05","-12,697","164,948",Vedette,4aQu1rELCP42qSITWP2V4W
3oqq7rUsPnBdITfy4w3cnM,"0,03","0,869","0,591","0,29","0,15","-10,687","163,013",Where Is My Mind? - Live,3oqq7rUsPnBdITfy4w3cnM
6Pwbre8ihKTiP9SncbOwOn,"0,0525","0,223","0,912","0,497","1,9E-05","-4,147","149,947",Paint Paint Paint,6Pwbre8ihKTiP9SncbOwOn
6EF0xhfKtQNqUPz2mnE5BD,"0,0776","0,0797","0,971","0,363","0,00358","-2,974","146,018",The Motherload,6EF0xhfKtQNqUPz2mnE5BD
5EO6RQBqwIX1Upd5OR6yfx,"0,0495","0,929","0,929","0,523","0,000868","-5,988","154,022",El Desdichado II,5EO6RQBqwIX1Upd5OR6yfx
5gszRSnT5FnH1Dl2ZKX0gT,"0,0632","0,395","0,908","0,507","3,61E-05","-5,977","94,948",Coisa Pouca,5gszRSnT5FnH1Dl2ZKX0gT
0Y2Xfs0bTe2o0mcfd1iuqv,"0,0415","0,335","0,741","0,586",0,"-6,913","93,018",Guerrilheiro,0Y2Xfs0bTe2o0mcfd1iuqv
7ooPpNdobRXmrAKTegIY3u,"0,0467","0,388","0,927","0,629","1,9E-06","-5,775","95,993",Rabissaca,7ooPpNdobRXmrAKTegIY3u
4ZBxAQzSqxf09s3ef1KBf7,"0,0385","0,167","0,659","0,64",0,"-8,448","127,078",Já Era,4ZBxAQzSqxf09s3ef1KBf7
6QTt1cq7xE27v7Gcde8qeV,"0,0777","0,231","0,817","0,722",0,"-7,31","94,028",Batalha Diária,6QTt1cq7xE27v7Gcde8qeV
1XMHZvwbi7gwiqAkeiFMZv,"0,0392","0,0994","0,825","0,576","0,000572","-6,78","104,001",Menina E. T.,1XMHZvwbi7gwiqAkeiFMZv
0llyn1yCjINHQp0NBZfNWr,"0,0375","0,123","0,931","0,532","1,64E-05","-6,487","100,076",Martelada,0llyn1yCjINHQp0NBZfNWr
1I0KiI3UrymhqljlAvUkBF,"0,0448","0,243","0,784","0,713","0,000178","-7,476","100,08",É Pouco,1I0KiI3UrymhqljlAvUkBF
4qar5lObg3XDT6TP5R421a,"0,0325","0,157","0,886","0,705",0,"-6,095","110,034",No Mato,4qar5lObg3XDT6TP5R421a
2pAdVk3PI1eA7v0nhhArFb,"0,0444","0,332","0,803","0,698","0,0142","-7,24","100,091",Papai Mamãe,2pAdVk3PI1eA7v0nhhArFb
4ZBxAQzSqxf09s3ef1KBf7,"0,0385","0,167","0,659","0,64",0,"-8,448","127,078",Já Era,4ZBxAQzSqxf09s3ef1KBf7
4ZBxAQzSqxf09s3ef1KBf7,"0,0385","0,167","0,659","0,64",0,"-8,448","127,078",Já Era,4ZBxAQzSqxf09s3ef1KBf7
11OQVbfTGz2vK5kHX4W7bR,"0,038","0,148","0,644","0,617","0,205","-7,188","116,761",Magic Town,11OQVbfTGz2vK5kHX4W7bR
6jwsbxD1nvTc4UGLgRoCa6,"0,0268","0,095","0,646","0,666","0,286","-7,722","100,05",You Worry Me,6jwsbxD1nvTc4UGLgRoCa6
40Uq8mjn19gIAtHIG6ERZ6,"0,0388","0,56","0,842","0,603","1,58E-06","-4,677","90,035",All My Friends,40Uq8mjn19gIAtHIG6ERZ6
75MKHk9JSlu8MOixmQ982v,"0,0364","0,196","0,211","0,376",0,"-11,665","94,7",A Little More,75MKHk9JSlu8MOixmQ982v
1ZyQGXH9dZ4AecevHhKUxi,"0,0336","0,175","0,68","0,505",0,"-3,423","139,843",World Gone Mad,1ZyQGXH9dZ4AecevHhKUxi
57yL3161hUMuw06zzzUCHi,"0,0358","0,362","0,645","0,719","0,00316","-6,141","123,02",Doubt,57yL3161hUMuw06zzzUCHi
1sWeSMifj6Z6kZyI6z3bRc,"0,0645","0,237","0,851","0,365","0,003","-6,238","78,086",Warriors,1sWeSMifj6Z6kZyI6z3bRc
3adVVrcE2KS26OL4rYd27O,"0,18","0,102","0,31","0,688","0,000974","-10,026","134,005",Dancing In The Dark,3adVVrcE2KS26OL4rYd27O
2Iug43iQrHN8CbGsUd2tEt,"0,0706","0,153","0,928","0,698","0,0001","-5,051","98,04",Start Over,2Iug43iQrHN8CbGsUd2tEt
1zB4vmk8tFRmM9UULNzbLB,"0,0438","0,147","0,822","0,605","0,134","-4,833","167,997",Thunder,1zB4vmk8tFRmM9UULNzbLB
1dekgAFF9uTCqLsklDaCWb,"0,0413","0,152","0,907","0,483","0,0509","-7,015","96,014",Mouth Of The River,1dekgAFF9uTCqLsklDaCWb
2SJf7W18D1AEpr8L9ATu0c,"0,0513","0,413","0,645","0,569",0,"-6,169","156,031",Yesterday,2SJf7W18D1AEpr8L9ATu0c
0FfX0nofboxZjP0diT1eFv,"0,105","0,29","0,674","0,328","0,0398","-7,488","177,007",I’ll Make It Up To You,0FfX0nofboxZjP0diT1eFv
3zT2616WcD9Df5m21OsCX0,"0,0475","0,0958","0,74","0,447","0,000228","-6,607","93,759",Rise Up,3zT2616WcD9Df5m21OsCX0
1y3bE5i57eUm3hfLAc7h08,"0,0372","0,0941","0,761","0,54",0,"-5,339","100,008",Walking The Wire,1y3bE5i57eUm3hfLAc7h08
0pqnGHJpmpxLKifKRmU6WP,"0,128","0,081","0,78","0,776",0,"-4,374","124,949",Believer,0pqnGHJpmpxLKifKRmU6WP
31VOknKjFrEX47bZXzqcoF,"0,0623","0,0609","0,672","0,301","3,1E-05","-4,497","169,497",Next To Me,31VOknKjFrEX47bZXzqcoF
2oaK4JLVnmRGIO9ytBE1bt,"0,0716","0,11","0,742","0,7","0,0199","-6,777","91,959",Dark Necessities,2oaK4JLVnmRGIO9ytBE1bt
30FURVTCpbKyykjSEQzGkH,"0,0392","0,0983","0,725","0,49","2,68E-05","-3,304","123,28",Back To Black,30FURVTCpbKyykjSEQzGkH
6EThJr4Dq1Y93JspecGU2F,"0,0259","0,0812","0,677","0,637",0,"-3,421","113,956",Cigarette Daydreams,6EThJr4Dq1Y93JspecGU2F
0R0iipdUdBXavlRr3tYdLK,"0,0985","0,0827","0,773","0,693",0,"-4,193","87,067",Envolvidão,0R0iipdUdBXavlRr3tYdLK
2hxWfUcyttEpiMRkntMxvE,"0,0884","0,212","0,805","0,769",0,"-3,935","84,026",Ela Me Faz,2hxWfUcyttEpiMRkntMxvE
33j6MmtYB2Gp3Vg3EEx1Oi,"0,0598","0,364","0,631","0,822","0,000589","-7,736","103,985",Perdendo o Juízo,33j6MmtYB2Gp3Vg3EEx1Oi
6Qn5zhYkTa37e91HC1D7lb,"0,0311","0,117","0,655","0,672",0,"-5,021","134,945",Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb
28heol5hhOGj6KYbJrRteJ,"0,0609","0,185","0,641","0,639","9,91E-06","-7,423","120,927",I Don’t Know Why,28heol5hhOGj6KYbJrRteJ
